Prompt,IsFood,Cuisine Type,Cuisine Region,Dish Name
"Can you please bring me a side of pickles?
",Yes,General,General,General
"I'd like to order something that's not too heavy.
",Yes,General,General,General
Could you please bring me a side of roasted potatoes,Yes,General,General,General
"Can you please bring me a side of hot sauce?
",Yes,General,General,General
"Can you please bring me a side of hot sauce?
",Yes,General,General,General
"Could you please bring me some grated Parmesan cheese?
",Yes,General,General,General
Can you recommend a dessert that's not too sweet?,Yes,General,General,General
Could you please bring me some hot tea after my meal?,Yes,General,General,General
I'd like to order something with a lot of flavor.,Yes,General,General,General
Can you please add some extra herbs to my dish?,Yes,General,General,General
Could you please pack up the rest of my food to go?,Yes,General,General,General
Could you please bring me a glass of sparkling water?,Yes,General,General,General
Do you have any special dietary options?,Yes,General,General,General
Can you recommend a side that would pair well with my meal?,Yes,General,General,General
Could you please bring me some extra bread to dip in the sauce?,Yes,General,General,General
Could I have my salad with the dressing on the side?,Yes,General,General,General
Could I have my salad with the dressing on the side?,Yes,General,General,General
"Could I have my food served on a separate plate, please?",Yes,General,General,General
"Can you please prepare my dish without garlic?
",Yes,General,General,General
Could you please bring me some olive oil and balsamic vinegar?,Yes,General,General,General
Do you have any locally sourced ingredients?,Yes,General,General,General
How is the food prepared here?,Yes,General,General,General
Could you please bring me a glass of red wine?,Yes,General,General,General
Can you recommend something that's not too spicy?,Yes,General,General,General
I'd like to order something light.,Yes,General,General,General
Could you please bring me a menu?,Yes,General,General,General
"Could you please bring me a side of black beans or chickpeas?
",Yes,General,General,General
Can you make sure my dish is not too spicy but still has some flavor?,Yes,General,General,General
Could you please bring me a side of roasted carrots?,Yes,General,General,General
I'd like to order something that's not too greasy.,Yes,General,General,General
Can you recommend a dish that's good for people who are vegetarian?,Yes,General,General,General
Could you please bring me some fresh herbs like basil or cilantro?,Yes,General,General,General
"Can you please make sure my dish is not too sweet?
",Yes,General,General,General
"I'm interested in trying something new, what would you recommend?
",Yes,General,General,General
"Can you please bring me a side of sliced avocado?
",Yes,General,General,General
Could I have my salad with a side of grilled chicken?,Yes,General,General,General
"Can you recommend a dish that's good for people who are trying to watch their weight?
",Yes,General,General,General
"Could you please bring me some hot sauce or chili flakes?
",Yes,General,General,General
I'd like to order something with a lot of vegetables.,Yes,General,General,General
"Can you make sure my dish is not too salty?
",Yes,General,General,General
"Could you please bring me some more napkins?
",Yes,General,General,General
"Can you recommend a drink that would pair well with my meal?
",Yes,General,General,General
"Could I have my sandwich with whole wheat bread?
",Yes,General,General,General
"I'd like to order something with a lot of protein.
",Yes,General,General,General
Could you please bring me a side of sautéed mushrooms?,Yes,General,General,General
"Can you recommend a dish that's good for sharing?
",Yes,General,General,General
"Could I have my steak cooked medium-rare with a side of mashed potatoes?
",Yes,General,General,General
"Can you please make sure my dish has no MSG?
",Yes,General,General,General
"Could you please bring me some more water with lemon?
",Yes,General,General,General
Can you recommend something that's popular among your regular customers,Yes,General,General,General
"I'm in the mood for something spicy, what would you recommend?
",Yes,General,General,General
"Could you please bring me some more ice for my drink?
",Yes,General,General,General
"Can you recommend a dish that's good for someone who is trying to build muscle?
",Yes,General,General,General
"I'd like to order something with a lot of flavor but not too spicy.
",Yes,General,General,General
Could you please bring me a side of grilled vegetables?,Yes,General,General,General
"Can you please make sure my dish is not too bland?
",Yes,General,General,General
Could you recommend a dish that's good for someone who is trying to lose weight?,Yes,General,General,General
"Could you please bring me a side of sliced tomatoes?
",Yes,General,General,General
Can you recommend a dish that's good for someone who is trying to increase their iron intake  ,Yes,General,General,General
"I'd like to order something with a lot of fiber.
",Yes,General,General,General
"Could you recommend a dish that's good for someone with high blood pressure?
",Yes,General,General,General
Can you please bring me some hot tea with lemon and honey?,Yes,General,General,General
"Could you please bring me some more bread to dip in the sauce?
",Yes,General,General,General
"I'm trying to avoid dairy, could you recommend a dish that doesn't contain any?
",Yes,General,General,General
"Could I have my burger cooked well-done with a side of sweet potato fries?
",Yes,General,General,General
Can you recommend a dish that's good for someone who is diabetic?,Yes,General,General,General
I'd like to order something that's not too heavy on my stomach.,Yes,General,General,General
Could you please bring me a side of mixed greens instead of fries?,Yes,General,General,General
Can you please make sure my dish is not too dry?,Yes,General,General,General
Could you recommend a dish that's good for someone who is gluten intolerant?,Yes,General,General,General
Could you please bring me some hot sauce on the side?,Yes,General,General,General
"Can you please bring me a side of brown rice instead of white rice?
",Yes,General,General,General
"Can you recommend a dish that's good for someone who is trying to build muscle?
",Yes,General,General,General
I'd like to order something with a lot of flavor but not too spicy.,Yes,General,General,General
"Could you please bring me a side of grilled vegetables?
",Yes,General,General,General
Can you please make sure my dish is not too bland?,Yes,General,General,General
Could you recommend a dish that's good for someone who is trying to lose weight,Yes,General,General,General
"Could you please bring me a side of sliced tomatoes?
",Yes,General,General,General
Can you recommend a dish that's good for someone who is trying to increase their iron intake,Yes,General,General,General
I'd like to order something that's good for a post-workout meal. What do you recommend?,Yes,General,General,General
"Can you please make sure my dish is not too greasy or oily?
",Yes,General,General,General
"Could you recommend a dish that's good for someone who is trying to reduce inflammation?
",Yes,General,General,General
"I'm looking for a dish that's good for a big group. What would you recommend?
",Yes,General,General,General
"Can you please bring me some extra vegetables on the side?
",Yes,General,General,General
"Could you recommend a dish that's good for someone who is trying to improve their skin health?
",Yes,General,General,General
"I'd like to order something that's easy to eat on the go. What do you recommend?
",Yes,General,General,General
Can you please make sure my dish is not too acidic? I have acid reflux.,Yes,General,General,General
". One plate of classic Dahi Puri, please.",Yes,Indian,West India,Dahi Puri
". Can I have a serving of Dahi Puri, please?",Yes,Indian,West India,Dahi Puri
". I'd like to order Dahi Puri, please.",Yes,Indian,West India,Dahi Puri
". May I have a plate of Dahi Puri, please?",Yes,Indian,West India,Dahi Puri
 Can you bring me some Dahi Puri?,Yes,Indian,West India,Dahi Puri
 I'm craving Dahi Puri. Can you please bring me a plate?,Yes,Indian,West India,Dahi Puri
 I'd love to try your Dahi Puri. Please bring me a serving.,Yes,Indian,West India,Dahi Puri
" One order of Dahi Puri, please. Extra yogurt, please.",Yes,Indian,West India,Dahi Puri
. Can you customize my Dahi Puri with extra tamarind chutney?,Yes,Indian,West India,Dahi Puri
. I want to enjoy the flavors of Dahi Puri. Please bring me a plate.,Yes,Indian,West India,Dahi Puri
. Can I have a vegetarian option for Dahi Puri?,Yes,Indian,West India,Dahi Puri
. I'm in the mood for some Dahi Puri. Please bring me a plate.,Yes,Indian,West India,Dahi Puri
. Please prepare my Dahi Puri with a medium level of spiciness.,Yes,Indian,West India,Dahi Puri
. I'd like to order Dahi Puri with a side of mint chutney.,Yes,Indian,West India,Dahi Puri
" Can you make my Dahi Puri extra crispy, please?",Yes,Indian,West India,Dahi Puri
 I'm a fan of sweet and tangy flavors. Please bring me some Dahi Puri.,Yes,Indian,West India,Dahi Puri
" I'm hosting a gathering, and I'd like to order a large platter of Dahi Puri.",Yes,Indian,West India,Dahi Puri
 I want to surprise my friends with a variety of Dahi Puri. Can you prepare a mixed platter?,Yes,Indian,West India,Dahi Puri
". Can I have Dahi Puri without onions and garlic, please?",Yes,Indian,West India,Dahi Puri
. I have dietary restrictions. Can you prepare a gluten-free version of Dahi Puri?,Yes,Indian,West India,Dahi Puri
. I'm looking for a healthier option. Can you make my Dahi Puri with whole wheat puris?,Yes,Indian,West India,Dahi Puri
. I want to experience different flavors. Can you bring me a sampler platter of Dahi Puri?,Yes,Indian,West India,Dahi Puri
. Please make my Dahi Puri with extra sev on top.,Yes,Indian,West India,Dahi Puri
. Can you make my Dahi Puri extra tangy with extra tamarind chutney?,Yes,Indian,West India,Dahi Puri
 I'd like to have a side of green chilies with my Dahi Puri.,Yes,Indian,West India,Dahi Puri
 Can I have Dahi Puri with extra coriander leaves on top?,Yes,Indian,West India,Dahi Puri
 I'm in the mood for something spicy. Can you make my Dahi Puri extra hot?,Yes,Indian,West India,Dahi Puri
 Please make my Dahi Puri with a mix of sweet and spicy chutneys.,Yes,Indian,West India,Dahi Puri
. I'd like to order Dahi Puri with a side of crispy papdis.,Yes,Indian,West India,Dahi Puri
. Can you make my Dahi Puri with a generous amount of yogurt?,Yes,Indian,West India,Dahi Puri
. I want to savor the authentic flavors. Can you prepare Dahi Puri as traditionally as possible?,Yes,Indian,West India,Dahi Puri
. I'm a fan of fusion cuisine. Can you prepare a fusion-style Dahi Puri with unique flavors?,Yes,Indian,West India,Dahi Puri
. Please make my Dahi Puri with a mix of different sprouts for added nutrition.,Yes,Indian,West India,Dahi Puri
. Can you make my Dahi Puri with a hint of mint in the yogurt?,Yes,Indian,West India,Dahi Puri
 I'd like to order Dahi Puri with a side of tangy imli (tamarind) water.,Yes,Indian,West India,Dahi Puri
 Please make my Dahi Puri with a squeeze of lemon for an extra tangy kick.,Yes,Indian,West India,Dahi Puri
 I want my Dahi Puri to have a generous amount of chopped tomatoes and onions.,Yes,Indian,West India,Dahi Puri
 Can you prepare a Jain version of Dahi Puri without any root vegetables?,Yes,Indian,West India,Dahi Puri
. I'm a fan of chaat masala. Can you sprinkle extra chaat masala on,Yes,Indian,West India,Dahi Puri
"Can we get some extra cutlery, please?",Yes,General,General,Cultery
"We'll need additional forks and knives, please.",Yes,General,General,Cultery
Could you bring us some more spoons?,Yes,General,General,Cultery
Can you provide us with extra sets of cutlery?,Yes,General,General,Cultery
"We require additional utensils for our meal, please.",Yes,General,General,Cultery
Please bring us some extra cutlery for everyone at the table.,Yes,General,General,Cultery
"We need some more forks, spoons, and knives, please.",Yes,General,General,Cultery
"Can we have some additional chopsticks, please?",Yes,General,General,Cultery
"Could you bring us extra napkins and cutlery, please?",Yes,General,General,Cultery
We would appreciate it if you could bring us some extra cutlery.,Yes,General,General,Cultery
Can you please provide us with extra utensils for sharing?,Yes,General,General,Cultery
"We require more forks and spoons. Could you bring them, please?",Yes,General,General,Cultery
Please bring us some additional silverware for our meal.,Yes,General,General,Cultery
"Can we get some extra cutlery sets for our group, please?",Yes,General,General,Cultery
We need some more cutlery. Could you please bring them to our table?,Yes,General,General,Cultery
"Could you provide us with extra sets of knives, forks, and spoons?",Yes,General,General,Cultery
"We would like some more cutlery. Can you bring it, please?",Yes,General,General,Cultery
Can you please bring us some extra cutlery for the kids?,Yes,General,General,Cultery
We require additional cutlery for our guests. Could you provide that?,Yes,General,General,Cultery
"Could you bring us some more disposable cutlery, please?",Yes,General,General,Cultery
Can we get extra forks and spoons for our takeout order?,Yes,General,General,Cultery
"We need additional cutlery for our party. Can you bring it, please?",Yes,General,General,Cultery
Please bring us some extra cutlery for the desserts.,Yes,General,General,Cultery
Can you provide us with extra sets of cutlery for sharing dishes?,Yes,General,General,Cultery
We would appreciate it if you could bring us some more chopsticks.,Yes,General,General,Cultery
"Could you bring us some extra plastic cutlery, please?",Yes,General,General,Cultery
"We require additional knives, forks, and spoons for our meal.",Yes,General,General,Cultery
"Can we have some more disposable utensils, please?",Yes,General,General,Cultery
Please bring us some additional cutlery for our picnic.,Yes,General,General,Cultery
Can you provide us with extra sets of cutlery for our buffet?,Yes,General,General,Cultery
We need some more cutlery. Could you please bring them to our table?,Yes,General,General,Cultery
"Could you bring us some additional dessert spoons, please?",Yes,General,General,Cultery
"We would like some more cutlery. Can you bring it, please?",Yes,General,General,Cultery
Can you please bring us some extra cutlery for the barbecue?,Yes,General,General,Cultery
We require additional cutlery for our outdoor event. Could you provide that?,Yes,General,General,Cultery
"Could you bring us some more disposable cutlery, please?",Yes,General,General,Cultery
